sep=;
Source URL;"https://www.youtube.com/watch?v=2FPx1_CUzYQ"
Timezone;UTC

S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@ferryirwandi","@ferryirwandi");"2026-05-13T07:53:03Z";3855;"hallo warga sipil sekalian semoga ini menjelaskan ya ❤";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgwWQwS5Eqgde_AA-kB4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@budihartanto4099","@budihartanto4099");"2026-06-06T06:52:13Z";0;"Entah kenapa hati kecil berkata seorang Ferry Irwandi masih lebih capable buat urus negara ini ketiban Presiden yg ada sekarang.. 😂";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgwggAuPHTVgFDqy3GV4AaABAg","view source")
3;=HYPERLINK("http://www.youtube.com/@SugiYono-bu7rz","@SugiYono-bu7rz");"2026-06-06T05:28:08Z";0;"Kekliruan hutang terlalu besar era Jokowi sekarang kena dampaknya, whoosh, IKN,MBG semua program JOKOWI";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgwDDLY5cS37oIFIsAl4AaABAg","view source")
4;=HYPERLINK("http://www.youtube.com/@SugiYono-bu7rz","@SugiYono-bu7rz");"2026-06-06T05:27:35Z";0;"lihat yg buat konten irfan irwandi itu termul gak pernah mbahas hutang masa jokowi,WHOOSH,IKN MBG itu hutang";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgzMgGWqUXFY_WigUJl4AaABAg","view source")
5;=HYPERLINK("http://www.youtube.com/@SugiYono-bu7rz","@SugiYono-bu7rz");"2026-06-06T05:25:33Z";0;"Kekliruan hutang terlalu besar era Jokowi sekarang kena dampaknya, whoosh, IKN,MBG semua program JOKOWI";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgzzdMiBxTHTRrFiasl4AaABAg","view source")
6;=HYPERLINK("http://www.youtube.com/@SugiYono-bu7rz","@SugiYono-bu7rz");"2026-06-06T05:25:14Z";0;"Kekliruan hutang terlalu besar era Jokowi sekarang kena dampaknya, whoosh, IKN,MBG semua program JOKOWI";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgwnTz5W8N8-Kl-qWCh4AaABAg","view source")
7;=HYPERLINK("http://www.youtube.com/@SugiYono-bu7rz","@SugiYono-bu7rz");"2026-06-06T05:24:46Z";0;"Kekliruan hutang terlalu besar era Jokowi sekarang kena dampaknya, whoosh, IKN,MBG semua program JOKOWI";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgwvrOblZnsqYMaymed4AaABAg","view source")
8;=HYPERLINK("http://www.youtube.com/@de_santa69","@de_santa69");"2026-06-06T05:15:36Z";1;"gak lama abis video ini,, anggaran mbg di press, dan pimpinan bgn di pecat, dan jadi tersangka 👍👍... gw yakin mbg itu bagus, tapi gak harus sebesar itu anggaran nya, bisa bgt di press lagi.... Dan eksport harus bener2 digenjot bgt,dan import harus diteken, yang gak perlu kayak barang2 cina di shopee dan tiktok harus di atur biar gak semua asal bisa masuk... eksport komoditi sesegera mungkin buat satu pintu biar devisa masuk diatur sama negara, baru oligarki taipan di bayar lewat pemerintah pake rupiah, jadi dollar nya bisa diparkir aman sama pemerintah langsung ... dan per hari ini ada komitmen kuat untuk Kemenkeu dan BI bersinergi kuat.... keren Lo fer,, semua bahasan Lo di dengerin dan di aplikasikan sama pemerintah ❤❤❤";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=Ugxuu19JkoeyBYfYtA54AaABAg","view source")
9;=HYPERLINK("http://www.youtube.com/@juliusjanusip6821","@juliusjanusip6821");"2026-06-06T04:53:08Z";0;"China merupakan kedua terbesar  ekonomi dunia dibelakang America tetapi kenapa nilai matawang Yuan jauh berbeza dgn USD . Nilai matawang Vietnam juga rendah sedangkan ekonominya stabil dan pelabur2 luar byk melabur dan membina kilang2 dinegara itu . China dan Vietnam sebenarnya manipulasi nilai matawang supaya kekal rendah kerana mereka adalah negara pengekspot . Adakah Indonesia juga seperti itu ?";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgxjvmpvyIx04IceMoB4AaABAg","view source")
10;=HYPERLINK("http://www.youtube.com/@cctvgentingoyser6020","@cctvgentingoyser6020");"2026-06-06T04:30:06Z";0;"stop MBG";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgwXB2bOfizp3kUSCTp4AaABAg","view source")
11;=HYPERLINK("http://www.youtube.com/@NickiDai02-p9b","@NickiDai02-p9b");"2026-06-06T03:59:13Z";0;"kdrun kn emang pda dsarnya bodoh wlaupun smua baik klo prabowo bilang pisitif y mreka prcya2 aj😂nmanya juga iq 78";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=UgwCUkIrIcnTqZQBWcJ4AaABAg","view source")
12;=HYPERLINK("http://www.youtube.com/@NickiDai02-p9b","@NickiDai02-p9b");"2026-06-06T03:48:29Z";0;"fktor prtamanya prabowo😂😂dia trlalu simpel kyak logika anak sd";=HYPERLINK("https://www.youtube.com/watch?v=2FPx1_CUzYQ&lc=Ugw8qhkEPdR8H7ApiNB4AaABAg","view source")
